time,global_anom_mean
1861-08-01 00:00:00,-0.39927465
1861-09-01 00:00:00,-0.3766082
1861-10-01 00:00:00,-0.47967854
1861-11-01 00:00:00,-0.2825482
1861-12-01 00:00:00,-0.40257198
1862-01-01 00:00:00,-0.40243053
1862-02-01 00:00:00,-0.57777303
1862-03-01 00:00:00,-0.67067593
1862-04-01 00:00:00,-0.67283916
1862-05-01 00:00:00,-0.6700683
1862-06-01 00:00:00,-0.47067884
1862-07-01 00:00:00,-0.5140365
1862-08-01 00:00:00,-0.51476127
1862-09-01 00:00:00,-0.5298862
1862-10-01 00:00:00,-0.5756723
1862-11-01 00:00:00,-0.29020092
1862-12-01 00:00:00,-0.6376414
1863-01-01 00:00:00,-0.45400545
1863-02-01 00:00:00,-0.58029664
1863-03-01 00:00:00,-0.4384938
1863-04-01 00:00:00,-0.2504951
1863-05-01 00:00:00,-0.46931207
1863-06-01 00:00:00,-0.4159658
1863-07-01 00:00:00,-0.49747294
1863-08-01 00:00:00,-0.45829585
1863-09-01 00:00:00,-0.5337106
1863-10-01 00:00:00,-0.4707557
1863-11-01 00:00:00,-0.325753
1863-12-01 00:00:00,-0.4869301
1864-01-01 00:00:00,-0.54191214
1864-02-01 00:00:00,-0.3253332
1864-03-01 00:00:00,-0.45497262
1864-04-01 00:00:00,-0.46305686
1864-05-01 00:00:00,-0.37911266
1864-06-01 00:00:00,-0.31450245
1864-07-01 00:00:00,-0.37620804
1864-08-01 00:00:00,-0.45052597
1864-09-01 00:00:00,-0.51998127
1864-10-01 00:00:00,-0.5563815
1864-11-01 00:00:00,-0.5319982
1864-12-01 00:00:00,-0.5535565
1865-01-01 00:00:00,-0.283785
1865-02-01 00:00:00,-0.6946098
1865-03-01 00:00:00,-0.5335986
1865-04-01 00:00:00,-0.70942694
1865-05-01 00:00:00,-0.57410073
1865-06-01 00:00:00,-0.4110964
1865-07-01 00:00:00,-0.24654949
1865-08-01 00:00:00,-0.25621992
1865-09-01 00:00:00,-0.26304895
1865-10-01 00:00:00,-0.36501354
1865-11-01 00:00:00,-0.27668566
1865-12-01 00:00:00,-0.31856406
1866-01-01 00:00:00,-0.4526497
1866-02-01 00:00:00,-0.37069738
1866-03-01 00:00:00,-0.6231497
1866-04-01 00:00:00,-0.6313196
1866-05-01 00:00:00,-0.5334209
1866-06-01 00:00:00,-0.37402648
1866-07-01 00:00:00,-0.28591877
1866-08-01 00:00:00,-0.44408837
1866-09-01 00:00:00,-0.2835033
1866-10-01 00:00:00,-0.37586722
1866-11-01 00:00:00,-0.3499523
1866-12-01 00:00:00,-0.39656967
1867-01-01 00:00:00,-0.62708
1867-02-01 00:00:00,-0.69852597
1867-03-01 00:00:00,-0.8009337
1867-04-01 00:00:00,-0.78992105
1867-05-01 00:00:00,-0.7802175
1867-06-01 00:00:00,-0.4636806
1867-07-01 00:00:00,-0.4468301
1867-08-01 00:00:00,-0.33909127
1867-09-01 00:00:00,-0.30465388
