time,predicted_global_anom_mean
1850.0,-0.5006258902648549
1850.1801801801803,-0.4945784498948847
1850.3603603603603,-0.6139817299414554
1850.5405405405406,-0.3382739973993856
1850.7207207207207,-0.3489766429202879
1850.900900900901,-0.40907113322290845
1851.081081081081,-0.4737320956436798
1851.2612612612613,-0.5896805964058995
1851.4414414414414,-0.510924806097496
1851.6216216216217,-0.19588079529390118
1851.8018018018017,-0.16007402774113372
1851.981981981982,-0.2620541514267593
1852.162162162162,-0.4409882775281917
1852.3423423423424,-0.5853200804430034
1852.5225225225224,-0.22390836534687888
1852.7027027027027,-0.22022904556989803
1852.882882882883,-0.3573794604094829
1853.063063063063,-0.4366542448744306
1853.2432432432433,-0.6541879625770757
1853.4234234234234,-0.39758275239526764
1853.6036036036037,-0.20245294525321506
1853.7837837837837,-0.28273049145208556
1853.963963963964,-0.24781293951557676
1854.144144144144,-0.4349820240170913
1854.3243243243244,-0.3773782457627995
1854.5045045045044,-0.3339999718575969
1854.6846846846847,-0.24918961406240062
1854.8648648648648,-0.22316296177504066
1855.045045045045,-0.33868700189533907
1855.2252252252251,-0.4747602988888069
1855.4054054054054,-0.41526787230252415
1855.5855855855855,-0.3432522271298939
1855.7657657657658,-0.33694921860120547
1855.945945945946,-0.364305821663377
1856.126126126126,-0.21776760401957557
1856.3063063063064,-0.4586777588556418
1856.4864864864865,-0.36381324595076153
1856.6666666666667,-0.4881260034122762
1856.8468468468468,-0.5754396961711048
1857.027027027027,-0.3681188271467467
1857.2072072072071,-0.46635101882352004
1857.3873873873874,-0.563138638048612
1857.5675675675675,-0.4103752256884055
1857.7477477477478,-0.4472045285994225
1857.9279279279278,-0.3331349343034529
1858.1081081081081,-0.4003053014849624
1858.2882882882882,-0.48719490374149105
1858.4684684684685,-0.504784364435376
1858.6486486486488,-0.34251374126358214
1858.8288288288288,-0.40796517213485073
1859.009009009009,-0.4446184387008471
1859.1891891891892,-0.3287243762774023
1859.3693693693695,-0.37037260189998755
1859.5495495495495,-0.36403199898231103
1859.7297297297298,-0.36445947935690337
1859.9099099099099,-0.3564743515989305
1860.0900900900901,-0.40061580331652347
1860.2702702702702,-0.491468187086166
1860.4504504504505,-0.4711759570899695
1860.6306306306305,-0.3919003365242379
1860.8108108108108,-0.47506946415881646
1860.990990990991,-0.6129008132698469
1861.1711711711712,-0.6288742881002454
1861.3513513513512,-0.5238196122615308
1861.5315315315315,-0.4228371186326009
1861.7117117117118,-0.38947287732769553
1861.8918918918919,-0.3561368097858061
1862.0720720720722,-0.4294567765526382
1862.2522522522522,-0.6444123246617788
1862.4324324324325,-0.6163021836880151
1862.6126126126126,-0.49032454884749416
1862.7927927927929,-0.5430505108171548
1862.972972972973,-0.5036438124295263
1863.1531531531532,-0.5445827375735317
1863.3333333333333,-0.3439012638907473
1863.5135135135135,-0.4216357588527476
1863.6936936936936,-0.4647944026612862
1863.873873873874,-0.40221029516364293
1864.054054054054,-0.5112022952153481
1864.2342342342342,-0.4414212583070673
1864.4144144144145,-0.40859833635372567
1864.5945945945946,-0.3754753161695439
1864.7747747747749,-0.5155479041413712
1864.954954954955,-0.5202065274688221
1865.1351351351352,-0.5432849067228108
1865.3153153153153,-0.6433791205503764
1865.4954954954956,-0.4160246111715853
1865.6756756756756,-0.27315699206973654
1865.855855855856,-0.3441079178299118
1866.036036036036,-0.38869583710011363
1866.2162162162163,-0.5154174992328259
1866.3963963963963,-0.5522378815349311
1866.5765765765766,-0.3098824474816469
1866.7567567567567,-0.32819849749317404
1866.936936936937,-0.3717043089246367
1867.117117117117,-0.6423729837339838
