time,global_anom_mean
"(Timestamp('1857-08-01 00:00:00'), 0.0)",-0.3435609
"(Timestamp('1857-09-01 00:00:00'), 0.0)",-0.46931797
"(Timestamp('1857-10-01 00:00:00'), 0.0)",-0.537274
"(Timestamp('1857-11-01 00:00:00'), 0.0)",-0.35471132
"(Timestamp('1857-12-01 00:00:00'), 0.0)",-0.15476054
"(Timestamp('1858-01-01 00:00:00'), 0.0)",-0.35578766
"(Timestamp('1858-02-01 00:00:00'), 0.0)",-0.45211416
"(Timestamp('1858-03-01 00:00:00'), 0.0)",-0.5037483
"(Timestamp('1858-04-01 00:00:00'), 0.0)",-0.45535666
"(Timestamp('1858-05-01 00:00:00'), 0.0)",-0.61637104
"(Timestamp('1858-06-01 00:00:00'), 0.0)",-0.4607583
"(Timestamp('1858-07-01 00:00:00'), 0.0)",-0.30400372
"(Timestamp('1858-08-01 00:00:00'), 0.0)",-0.35611337
"(Timestamp('1858-09-01 00:00:00'), 0.0)",-0.46691164
"(Timestamp('1858-10-01 00:00:00'), 0.0)",-0.39216417
"(Timestamp('1858-11-01 00:00:00'), 0.0)",-0.51336074
"(Timestamp('1858-12-01 00:00:00'), 0.0)",-0.4578621
"(Timestamp('1859-01-01 00:00:00'), 0.0)",-0.47385928
"(Timestamp('1859-02-01 00:00:00'), 0.0)",-0.34191754
"(Timestamp('1859-03-01 00:00:00'), 0.0)",-0.18402669
"(Timestamp('1859-04-01 00:00:00'), 0.0)",-0.357012
"(Timestamp('1859-05-01 00:00:00'), 0.0)",-0.30941924
"(Timestamp('1859-06-01 00:00:00'), 0.0)",-0.33880946
"(Timestamp('1859-07-01 00:00:00'), 0.0)",-0.4188518
"(Timestamp('1859-08-01 00:00:00'), 0.0)",-0.3002065
"(Timestamp('1859-09-01 00:00:00'), 0.0)",-0.39437413
"(Timestamp('1859-10-01 00:00:00'), 0.0)",-0.35344252
"(Timestamp('1859-11-01 00:00:00'), 0.0)",-0.37591144
"(Timestamp('1859-12-01 00:00:00'), 0.0)",-0.1435954
"(Timestamp('1860-01-01 00:00:00'), 0.0)",-0.3755886
"(Timestamp('1860-02-01 00:00:00'), 0.0)",-0.5564759
"(Timestamp('1860-03-01 00:00:00'), 0.0)",-0.4651631
"(Timestamp('1860-04-01 00:00:00'), 0.0)",-0.5473341
"(Timestamp('1860-05-01 00:00:00'), 0.0)",-0.53992045
"(Timestamp('1860-06-01 00:00:00'), 0.0)",-0.3662754
"(Timestamp('1860-07-01 00:00:00'), 0.0)",-0.41155243
"(Timestamp('1860-08-01 00:00:00'), 0.0)",-0.3977627
